,0,1,2,3,4
0,(-0.0002292332306916935+0.00015606655674559232j),(-0.00023623444898619335+0.0001443318515480126j),(-0.00022789684771005368+0.00015800841762914495j),(-0.0002058933041052909+0.00018686682333533288j),(-0.00018059981896873843+0.00021153138180884722j)
1,(1.3374534211681242e-05+6.301388338189275e-06j),(2.3842719993050396e-05+2.394907224737778e-05j),(2.321301734655012e-05+2.5264665328064368e-05j),(8.325504227210196e-06+1.2741155896490957e-05j),(-1.400214527384417e-05-4.605893841408299e-06j)
2,(0.00022923323069169344-0.00015606655674559232j),(0.00020808602785334803-0.00018436609293549317j),(0.00018235041061447183-0.00020995265087086657j),(0.0001698804200529594-0.0002200064190056497j),(0.00018059981896873838-0.00021153138180884725j)
3,(-1.3374534211681187e-05-6.301388338189307e-06j),(4.38274814483546e-06+1.6196080745566207e-05j),(2.2583626587529746e-05+2.696496959239114e-05j),(2.7787255772281986e-05+2.0489337630757143e-05j),(1.4002145273844225e-05+4.6058938414082566e-06j)
4,(-0.00022923323069169347+0.00015606655674559232j),(-0.00023623444898619337+0.0001443318515480126j),(-0.00022789684771005368+0.00015800841762914495j),(-0.0002058933041052909+0.00018686682333533285j),(-0.0001805998189687384+0.00021153138180884725j)
