% Model:              microstrip_patch_antenna.mph
% Version:            COMSOL 5.0.0.243
% Date:               May 1 2023, 11:25
% Dimension:          3
% Nodes:              8000
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.5750E9
-94.99999999999997        -94.99999999999997       -94.99999999999997       NaN
-84.99999999999997        -94.99999999999997       -94.99999999999997       NaN
-74.99999999999997        -94.99999999999997       -94.99999999999997       NaN
-64.99999999999997        -94.99999999999997       -94.99999999999997       NaN
-54.99999999999999        -94.99999999999997       -94.99999999999997       NaN
-44.99999999999998        -94.99999999999997       -94.99999999999997       NaN
-34.99999999999999        -94.99999999999997       -94.99999999999997       NaN
-25                       -94.99999999999997       -94.99999999999997       NaN
-14.999999999999993       -94.99999999999997       -94.99999999999997       NaN
-5                        -94.99999999999997       -94.99999999999997       NaN
5                         -94.99999999999997       -94.99999999999997       NaN
14.999999999999986        -94.99999999999997       -94.99999999999997       NaN
25                        -94.99999999999997       -94.99999999999997       NaN
35                        -94.99999999999997       -94.99999999999997       NaN
44.99999999999998         -94.99999999999997       -94.99999999999997       NaN
54.99999999999999         -94.99999999999997       -94.99999999999997       NaN
64.99999999999997         -94.99999999999997       -94.99999999999997       NaN
74.99999999999997         -94.99999999999997       -94.99999999999997       NaN
84.99999999999997         -94.99999999999997       -94.99999999999997       NaN
94.99999999999997         -94.99999999999997       -94.99999999999997       NaN
-94.99999999999997        -84.99999999999997       -94.99999999999997       NaN
-84.99999999999997        -84.99999999999997       -94.99999999999997       NaN
-74.99999999999997        -84.99999999999997       -94.99999999999997       NaN
-64.99999999999997        -84.99999999999997       -94.99999999999997       NaN
-54.99999999999999        -84.99999999999997       -94.99999999999997       NaN
-44.99999999999998        -84.99999999999997       -94.99999999999997       NaN
-34.99999999999999        -84.99999999999997       -94.99999999999997       NaN
-25                       -84.99999999999997       -94.99999999999997       NaN
-14.999999999999993       -84.99999999999997       -94.99999999999997       NaN
-5                        -84.99999999999997       -94.99999999999997       NaN
5                         -84.99999999999997       -94.99999999999997       NaN
14.999999999999986        -84.99999999999997       -94.99999999999997       NaN
25                        -84.99999999999997       -94.99999999999997       NaN
35                        -84.99999999999997       -94.99999999999997       NaN
44.99999999999998         -84.99999999999997       -94.99999999999997       NaN
54.99999999999999         -84.99999999999997       -94.99999999999997       NaN
64.99999999999997         -84.99999999999997       -94.99999999999997       NaN
74.99999999999997         -84.99999999999997       -94.99999999999997       NaN
84.99999999999997         -84.99999999999997       -94.99999999999997       NaN
94.99999999999997         -84.99999999999997       -94.99999999999997       NaN
-94.99999999999997        -74.99999999999997       -94.99999999999997       NaN
-84.99999999999997        -74.99999999999997       -94.99999999999997       NaN
-74.99999999999997        -74.99999999999997       -94.99999999999997       NaN
-64.99999999999997        -74.99999999999997       -94.99999999999997       NaN
-54.99999999999999        -74.99999999999997       -94.99999999999997       NaN
-44.99999999999998        -74.99999999999997       -94.99999999999997       NaN
-34.99999999999999        -74.99999999999997       -94.99999999999997       NaN
-25                       -74.99999999999997       -94.99999999999997       NaN
-14.999999999999993       -74.99999999999997       -94.99999999999997       NaN
-5                        -74.99999999999997       -94.99999999999997       NaN
5                         -74.99999999999997       -94.99999999999997       NaN
14.999999999999986        -74.99999999999997       -94.99999999999997       NaN
25                        -74.99999999999997       -94.99999999999997       NaN
35                        -74.99999999999997       -94.99999999999997       NaN
44.99999999999998         -74.99999999999997       -94.99999999999997       NaN
54.99999999999999         -74.99999999999997       -94.99999999999997       NaN
64.99999999999997         -74.99999999999997       -94.99999999999997       NaN
74.99999999999997         -74.99999999999997       -94.99999999999997       NaN
84.99999999999997         -74.99999999999997       -94.99999999999997       NaN
94.99999999999997         -74.99999999999997       -94.99999999999997       NaN
-94.99999999999997        -64.99999999999997       -94.99999999999997       NaN
-84.99999999999997        -64.99999999999997       -94.99999999999997       NaN
-74.99999999999997        -64.99999999999997       -94.99999999999997       NaN
-64.99999999999997        -64.99999999999997       -94.99999999999997       NaN
-54.99999999999999        -64.99999999999997       -94.99999999999997       NaN
-44.99999999999998        -64.99999999999997       -94.99999999999997       NaN
-34.99999999999999        -64.99999999999997       -94.99999999999997       NaN
