% Model:              microstrip_patch_antenna.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 31 2023, 16:50
% Dimension:          3
% Nodes:              1000000
% Expressions:        1
% Description:        Electric field, y component
% Length unit:        mm
% Theta           Phi              r
0.41253237        6.21971879       0.02575034
0.41253237        6.28318531       0.02854212
0.44426563        0.00000000       0.02854212
0.44426563        0.06346652       0.02569538
0.44426563        0.12693304       0.02348625
0.44426563        0.19039955       0.02199054
0.44426563        0.25386607       0.02123570
0.44426563        0.31733259       0.02117782
0.44426563        0.38079911       0.02170588
0.44426563        0.44426563       0.02267289
0.44426563        0.50773215       0.02393194
0.44426563        0.57119866       0.02535853
0.44426563        0.63466518       0.02685722
0.44426563        0.69813170       0.02835921
0.44426563        0.76159822       0.02981682
0.44426563        0.82506474       0.03119807
0.44426563        0.88853126       0.03248224
0.44426563        0.95199777       0.03365649
0.44426563        1.01546429       0.03471346
0.44426563        1.07893081       0.03564949
0.44426563        1.14239733       0.03646327
0.44426563        1.20586385       0.03715493
0.44426563        1.26933037       0.03772529
0.44426563        1.33279688       0.03817538
0.44426563        1.39626340       0.03850607
0.44426563        1.45972992       0.03871780
0.44426563        1.52319644       0.03881048
0.44426563        1.58666296       0.03878341
0.44426563        1.65012947       0.03863531
0.44426563        1.71359599       0.03836439
0.44426563        1.77706251       0.03796849
0.44426563        1.84052903       0.03744521
0.44426563        1.90399555       0.03679211
0.44426563        1.96746207       0.03600688
0.44426563        2.03092858       0.03508755
0.44426563        2.09439510       0.03403267
0.44426563        2.15786162       0.03284148
0.44426563        2.22132814       0.03151405
0.44426563        2.28479466       0.03005144
0.44426563        2.34826118       0.02845578
0.44426563        2.41172769       0.02673038
0.44426563        2.47519421       0.02487974
0.44426563        2.53866073       0.02290958
0.44426563        2.60212725       0.02082688
0.44426563        2.66559377       0.01863977
0.44426563        2.72906028       0.01635756
0.44426563        2.79252680       0.01399058
0.44426563        2.85599332       0.01155015
0.44426563        2.91945984       0.00904843
0.44426563        2.98292636       0.00649826
0.44426563        3.04639288       0.00391308
0.44426563        3.10985939       0.00130672
0.44426563        3.17332591       0.00130672
0.44426563        3.23679243       0.00391308
0.44426563        3.30025895       0.00649826
0.44426563        3.36372547       0.00904843
0.44426563        3.42719199       0.01155015
0.44426563        3.49065850       0.01399058
0.44426563        3.55412502       0.01635756
0.44426563        3.61759154       0.01863977
0.44426563        3.68105806       0.02082688
0.44426563        3.74452458       0.02290958
0.44426563        3.80799110       0.02487974
0.44426563        3.87145761       0.02673038
0.44426563        3.93492413       0.02845578
0.44426563        3.99839065       0.03005144
0.44426563        4.06185717       0.03151405
0.44426563        4.12532369       0.03284148
0.44426563        4.18879020       0.03403267
0.44426563        4.25225672       0.03508755
0.44426563        4.31572324       0.03600688
0.44426563        4.37918976       0.03679211
0.44426563        4.44265628       0.03744521
0.44426563        4.50612280       0.03796849
0.44426563        4.56958931       0.03836439
0.44426563        4.63305583       0.03863531
0.44426563        4.69652235       0.03878341
0.44426563        4.75998887       0.03881048
0.44426563        4.82345539       0.03871780
0.44426563        4.88692191       0.03850607
0.44426563        4.95038842       0.03817538
0.44426563        5.01385494       0.03772529
0.44426563        5.07732146       0.03715493
0.44426563        5.14078798       0.03646327
0.44426563        5.20425450       0.03564949
0.44426563        5.26772102       0.03471346
0.44426563        5.33118753       0.03365649
0.44426563        5.39465405       0.03248224
0.44426563        5.45812057       0.03119807
0.44426563        5.52158709       0.02981682
0.44426563        5.58505361       0.02835921
0.44426563        5.64852012       0.02685722
0.44426563        5.71198664       0.02535853
0.44426563        5.77545316       0.02393194
0.44426563        5.83891968       0.02267289
0.44426563        5.90238620       0.02170588
0.44426563        5.96585272       0.02117782
0.44426563        6.02931923       0.02123570
0.44426563        6.09278575       0.02199054
0.44426563        6.15625227       0.02348625
0.44426563        6.21971879       0.02569538
0.44426563        6.28318531       0.02854212
0.47599889        0.00000000       0.02854212
0.47599889        0.06346652       0.02565192
0.47599889        0.12693304       0.02334322
0.47599889        0.19039955       0.02169526
0.47599889        0.25386607       0.02075105
0.47599889        0.31733259       0.02049195
0.47599889        0.38079911       0.02083229
0.47599889        0.44426563       0.02164161
0.47599889        0.50773215       0.02277896
0.47599889        0.57119866       0.02411878
0.47599889        0.63466518       0.02556160
0.47599889        0.69813170       0.02703405
0.47599889        0.76159822       0.02848430
0.47599889        0.82506474       0.02987684
0.47599889        0.88853126       0.03118798
0.47599889        0.95199777       0.03240235
0.47599889        1.01546429       0.03351034
0.47599889        1.07893081       0.03450623
0.47599889        1.14239733       0.03538683
0.47599889        1.20586385       0.03615050
0.47599889        1.26933037       0.03679640
0.47599889        1.33279688       0.03732405
0.47599889        1.39626340       0.03773286
0.47599889        1.45972992       0.03802203
0.47599889        1.52319644       0.03819033
0.47599889        1.58666296       0.03823608
0.47599889        1.65012947       0.03815721
0.47599889        1.71359599       0.03795128
0.47599889        1.77706251       0.03761566
0.47599889        1.84052903       0.03714764
0.47599889        1.90399555       0.03654458
0.47599889        1.96746207       0.03580415
0.47599889        2.03092858       0.03492443
0.47599889        2.09439510       0.03390413
0.47599889        2.15786162       0.03274273
0.47599889        2.22132814       0.03144059
0.47599889        2.28479466       0.02999911
0.47599889        2.34826118       0.02842079
0.47599889        2.41172769       0.02670928
0.47599889        2.47519421       0.02486948
0.47599889        2.53866073       0.02290747
0.47599889        2.60212725       0.02083058
0.47599889        2.66559377       0.01864729
0.47599889        2.72906028       0.01636720
0.47599889        2.79252680       0.01400095
0.47599889        2.85599332       0.01156010
0.47599889        2.91945984       0.00905705
0.47599889        2.98292636       0.00650489
0.47599889        3.04639288       0.00391724
0.47599889        3.10985939       0.00130814
0.47599889        3.17332591       0.00130814
0.47599889        3.23679243       0.00391724
0.47599889        3.30025895       0.00650489
0.47599889        3.36372547       0.00905705
0.47599889        3.42719199       0.01156010
0.47599889        3.49065850       0.01400095
0.47599889        3.55412502       0.01636720
0.47599889        3.61759154       0.01864729
0.47599889        3.68105806       0.02083058
0.47599889        3.74452458       0.02290747
0.47599889        3.80799110       0.02486948
0.47599889        3.87145761       0.02670928
0.47599889        3.93492413       0.02842079
0.47599889        3.99839065       0.02999911
0.47599889        4.06185717       0.03144059
0.47599889        4.12532369       0.03274273
0.47599889        4.18879020       0.03390413
0.47599889        4.25225672       0.03492443
0.47599889        4.31572324       0.03580415
0.47599889        4.37918976       0.03654458
0.47599889        4.44265628       0.03714764
0.47599889        4.50612280       0.03761566
0.47599889        4.56958931       0.03795128
0.47599889        4.63305583       0.03815721
0.47599889        4.69652235       0.03823608
0.47599889        4.75998887       0.03819033
0.47599889        4.82345539       0.03802203
0.47599889        4.88692191       0.03773286
0.47599889        4.95038842       0.03732405
0.47599889        5.01385494       0.03679640
0.47599889        5.07732146       0.03615050
0.47599889        5.14078798       0.03538683
0.47599889        5.20425450       0.03450623
0.47599889        5.26772102       0.03351034
0.47599889        5.33118753       0.03240235
0.47599889        5.39465405       0.03118798
0.47599889        5.45812057       0.02987684
0.47599889        5.52158709       0.02848430
0.47599889        5.58505361       0.02703405
0.47599889        5.64852012       0.02556160
0.47599889        5.71198664       0.02411878
0.47599889        5.77545316       0.02277896
0.47599889        5.83891968       0.02164161
0.47599889        5.90238620       0.02083229
0.47599889        5.96585272       0.02049195
0.47599889        6.02931923       0.02075105
0.47599889        6.09278575       0.02169526
0.47599889        6.15625227       0.02334322
0.47599889        6.21971879       0.02565192
0.47599889        6.28318531       0.02854212
0.50773215        0.00000000       0.02854212
0.50773215        0.06346652       0.02562045
0.50773215        0.12693304       0.02322242
0.50773215        0.19039955       0.02142930
0.50773215        0.25386607       0.02029784
0.50773215        0.31733259       0.01983434
0.50773215        0.38079911       0.01998081
0.50773215        0.44426563       0.02062687
0.50773215        0.50773215       0.02164001
0.50773215        0.57119866       0.02289437
0.50773215        0.63466518       0.02428596
0.50773215        0.69813170       0.02573578
0.50773215        0.76159822       0.02718679
0.50773215        0.82506474       0.02859901
0.50773215        0.88853126       0.02994498
0.50773215        0.95199777       0.03120614
0.50773215        1.01546429       0.03237013
0.50773215        1.07893081       0.03342881
0.50773215        1.14239733       0.03437685
0.50773215        1.20586385       0.03521068
0.50773215        1.26933037       0.03592779
0.50773215        1.33279688       0.03652618
0.50773215        1.39626340       0.03700404
0.50773215        1.45972992       0.03735949
0.50773215        1.52319644       0.03759047
0.50773215        1.58666296       0.03769469
0.50773215        1.65012947       0.03766964
0.50773215        1.71359599       0.03751268
0.50773215        1.77706251       0.03722112
0.50773215        1.84052903       0.03679232
0.50773215        1.90399555       0.03622390
0.50773215        1.96746207       0.03551385
0.50773215        2.03092858       0.03466066
0.50773215        2.09439510       0.03366350
0.50773215        2.15786162       0.03252233
0.50773215        2.22132814       0.03123804
0.50773215        2.28479466       0.02981251
0.50773215        2.34826118       0.02824870
0.50773215        2.41172769       0.02655070
0.50773215        2.47519421       0.02472379
0.50773215        2.53866073       0.02277438
0.50773215        2.60212725       0.02071007
0.50773215        2.66559377       0.01853953
0.50773215        2.72906028       0.01627253
0.50773215        2.79252680       0.01391978
0.50773215        2.85599332       0.01149289
0.50773215        2.91945984       0.00900424
0.50773215        2.98292636       0.00646686
0.50773215        3.04639288       0.00389430
0.50773215        3.10985939       0.00130047
0.50773215        3.17332591       0.00130047
0.50773215        3.23679243       0.00389430
0.50773215        3.30025895       0.00646686
0.50773215        3.36372547       0.00900424
0.50773215        3.42719199       0.01149289
0.50773215        3.49065850       0.01391978
0.50773215        3.55412502       0.01627253
0.50773215        3.61759154       0.01853953
0.50773215        3.68105806       0.02071007
0.50773215        3.74452458       0.02277438
0.50773215        3.80799110       0.02472379
0.50773215        3.87145761       0.02655070
0.50773215        3.93492413       0.02824870
0.50773215        3.99839065       0.02981251
0.50773215        4.06185717       0.03123804
0.50773215        4.12532369       0.03252233
0.50773215        4.18879020       0.03366350
0.50773215        4.25225672       0.03466066
0.50773215        4.31572324       0.03551385
0.50773215        4.37918976       0.03622390
0.50773215        4.44265628       0.03679232
0.50773215        4.50612280       0.03722112
0.50773215        4.56958931       0.03751268
0.50773215        4.63305583       0.03766964
0.50773215        4.69652235       0.03769469
0.50773215        4.75998887       0.03759047
0.50773215        4.82345539       0.03735949
0.50773215        4.88692191       0.03700404
0.50773215        4.95038842       0.03652618
0.50773215        5.01385494       0.03592779
0.50773215        5.07732146       0.03521068
0.50773215        5.14078798       0.03437685
0.50773215        5.20425450       0.03342881
0.50773215        5.26772102       0.03237013
0.50773215        5.33118753       0.03120614
0.50773215        5.39465405       0.02994498
0.50773215        5.45812057       0.02859901
0.50773215        5.52158709       0.02718679
0.50773215        5.58505361       0.02573578
0.50773215        5.64852012       0.02428596
0.50773215        5.71198664       0.02289437
0.50773215        5.77545316       0.02164001
0.50773215        5.83891968       0.02062687
0.50773215        5.90238620       0.01998081
0.50773215        5.96585272       0.01983434
0.50773215        6.02931923       0.02029784
0.50773215        6.09278575       0.02142930
0.50773215        6.15625227       0.02322242
0.50773215        6.21971879       0.02562045
0.50773215        6.28318531       0.02854212
0.53946541        0.00000000       0.02854212
0.53946541        0.06346652       0.02560143
0.53946541        0.12693304       0.02312567
0.53946541        0.19039955       0.02119660
0.53946541        0.25386607       0.01988230
0.53946541        0.31733259       0.01921257
0.53946541        0.38079911       0.01915862
0.53946541        0.44426563       0.01963380
0.53946541        0.50773215       0.02051733
0.53946541        0.57119866       0.02168432
0.53946541        0.63466518       0.02302598
0.53946541        0.69813170       0.02445676
0.53946541        0.76159822       0.02591327
0.53946541        0.82506474       0.02735008
0.53946541        0.88853126       0.02873520
0.53946541        0.95199777       0.03004631
0.53946541        1.01546429       0.03126788
0.53946541        1.07893081       0.03238907
0.53946541        1.14239733       0.03340225
0.53946541        1.20586385       0.03430190
0.53946541        1.26933037       0.03508385
0.53946541        1.33279688       0.03574473
0.53946541        1.39626340       0.03628167
0.53946541        1.45972992       0.03669196
0.53946541        1.52319644       0.03697302
0.53946541        1.58666296       0.03712224
0.53946541        1.65012947       0.03713705
0.53946541        1.71359599       0.03701492
0.53946541        1.77706251       0.03675344
0.53946541        1.84052903       0.03635043
0.53946541        1.90399555       0.03580404
0.53946541        1.96746207       0.03511287
0.53946541        2.03092858       0.03427609
0.53946541        2.09439510       0.03329357
0.53946541        2.15786162       0.03216595
0.53946541        2.22132814       0.03089476
0.53946541        2.28479466       0.02948249
0.53946541        2.34826118       0.02793264
0.53946541        2.41172769       0.02624976
0.53946541        2.47519421       0.02443949
0.53946541        2.53866073       0.02250854
0.53946541        2.60212725       0.02046467
0.53946541        2.66559377       0.01831667
0.53946541        2.72906028       0.01607428
0.53946541        2.79252680       0.01374814
0.53946541        2.85599332       0.01134970
0.53946541        2.91945984       0.00889110
0.53946541        2.98292636       0.00638507
0.53946541        3.04639288       0.00384482
0.53946541        3.10985939       0.00128391
0.53946541        3.17332591       0.00128391
0.53946541        3.23679243       0.00384482
0.53946541        3.30025895       0.00638507
0.53946541        3.36372547       0.00889110
0.53946541        3.42719199       0.01134970
0.53946541        3.49065850       0.01374814
0.53946541        3.55412502       0.01607428
0.53946541        3.61759154       0.01831667
0.53946541        3.68105806       0.02046467
0.53946541        3.74452458       0.02250854
0.53946541        3.80799110       0.02443949
0.53946541        3.87145761       0.02624976
0.53946541        3.93492413       0.02793264
0.53946541        3.99839065       0.02948249
0.53946541        4.06185717       0.03089476
0.53946541        4.12532369       0.03216595
0.53946541        4.18879020       0.03329357
0.53946541        4.25225672       0.03427609
0.53946541        4.31572324       0.03511287
0.53946541        4.37918976       0.03580404
0.53946541        4.44265628       0.03635043
0.53946541        4.50612280       0.03675344
0.53946541        4.56958931       0.03701492
0.53946541        4.63305583       0.03713705
0.53946541        4.69652235       0.03712224
0.53946541        4.75998887       0.03697302
0.53946541        4.82345539       0.03669196
0.53946541        4.88692191       0.03628167
0.53946541        4.95038842       0.03574473
0.53946541        5.01385494       0.03508385
0.53946541        5.07732146       0.03430190
0.53946541        5.14078798       0.03340225
0.53946541        5.20425450       0.03238907
0.53946541        5.26772102       0.03126788
0.53946541        5.33118753       0.03004631
0.53946541        5.39465405       0.02873520
0.53946541        5.45812057       0.02735008
0.53946541        5.52158709       0.02591327
0.53946541        5.58505361       0.02445676
0.53946541        5.64852012       0.02302598
0.53946541        5.71198664       0.02168432
0.53946541        5.77545316       0.02051733
0.53946541        5.83891968       0.01963380
0.53946541        5.90238620       0.01915862
0.53946541        5.96585272       0.01921257
0.53946541        6.02931923       0.01988230
0.53946541        6.09278575       0.02119660
0.53946541        6.15625227       0.02312567
0.53946541        6.21971879       0.02560143
0.53946541        6.28318531       0.02854212
0.57119866        0.00000000       0.02854212
0.57119866        0.06346652       0.02559526
0.57119866        0.12693304       0.02305470
0.57119866        0.19039955       0.02100112
0.57119866        0.25386607       0.01951100
0.57119866        0.31733259       0.01863507
0.57119866        0.38079911       0.01837411
0.57119866        0.44426563       0.01866878
0.57119866        0.50773215       0.01941399
0.57119866        0.57119866       0.02048799
0.57119866        0.63466518       0.02177737
0.57119866        0.69813170       0.02318913
0.57119866        0.76159822       0.02465246
0.57119866        0.82506474       0.02611553
0.57119866        0.88853126       0.02754107
0.57119866        0.95199777       0.02890250
0.57119866        1.01546429       0.03018079
0.57119866        1.07893081       0.03136224
0.57119866        1.14239733       0.03243682
0.57119866        1.20586385       0.03339707
0.57119866        1.26933037       0.03423726
0.57119866        1.33279688       0.03495280
0.57119866        1.39626340       0.03553991
0.57119866        1.45972992       0.03599531
0.57119866        1.52319644       0.03631609
0.57119866        1.58666296       0.03649959
0.57119866        1.65012947       0.03654342
0.57119866        1.71359599       0.03644540
0.57119866        1.77706251       0.03620368
0.57119866        1.84052903       0.03581673
0.57119866        1.90399555       0.03528345
0.57119866        1.96746207       0.03460327
0.57119866        2.03092858       0.03377620
0.57119866        2.09439510       0.03280293
0.57119866        2.15786162       0.03168492
0.57119866        2.22132814       0.03042445
0.57119866        2.28479466       0.02902466
0.57119866        2.34826118       0.02748965
0.57119866        2.41172769       0.02582444
0.57119866        2.47519421       0.02403503
0.57119866        2.53866073       0.02212835
0.57119866        2.60212725       0.02011230
0.57119866        2.66559377       0.01799565
0.57119866        2.72906028       0.01578805
0.57119866        2.79252680       0.01349990
0.57119866        2.85599332       0.01114234
0.57119866        2.91945984       0.00872709
0.57119866        2.98292636       0.00626644
0.57119866        3.04639288       0.00377304
0.57119866        3.10985939       0.00125988
0.57119866        3.17332591       0.00125988
0.57119866        3.23679243       0.00377304
0.57119866        3.30025895       0.00626644
0.57119866        3.36372547       0.00872709
0.57119866        3.42719199       0.01114234
0.57119866        3.49065850       0.01349990
0.57119866        3.55412502       0.01578805
0.57119866        3.61759154       0.01799565
0.57119866        3.68105806       0.02011230
0.57119866        3.74452458       0.02212835
0.57119866        3.80799110       0.02403503
0.57119866        3.87145761       0.02582444
0.57119866        3.93492413       0.02748965
0.57119866        3.99839065       0.02902466
0.57119866        4.06185717       0.03042445
0.57119866        4.12532369       0.03168492
0.57119866        4.18879020       0.03280293
0.57119866        4.25225672       0.03377620
0.57119866        4.31572324       0.03460327
0.57119866        4.37918976       0.03528345
0.57119866        4.44265628       0.03581673
0.57119866        4.50612280       0.03620368
0.57119866        4.56958931       0.03644540
0.57119866        4.63305583       0.03654342
0.57119866        4.69652235       0.03649959
0.57119866        4.75998887       0.03631609
0.57119866        4.82345539       0.03599531
0.57119866        4.88692191       0.03553991
0.57119866        4.95038842       0.03495280
0.57119866        5.01385494       0.03423726
0.57119866        5.07732146       0.03339707
0.57119866        5.14078798       0.03243682
0.57119866        5.20425450       0.03136224
0.57119866        5.26772102       0.03018079
0.57119866        5.33118753       0.02890250
0.57119866        5.39465405       0.02754107
0.57119866        5.45812057       0.02611553
0.57119866        5.52158709       0.02465246
0.57119866        5.58505361       0.02318913
0.57119866        5.64852012       0.02177737
0.57119866        5.71198664       0.02048799
0.57119866        5.77545316       0.01941399
0.57119866        5.83891968       0.01866878
0.57119866        5.90238620       0.01837411
0.57119866        5.96585272       0.01863507
0.57119866        6.02931923       0.01951100
0.57119866        6.09278575       0.02100112
0.57119866        6.15625227       0.02305470
0.57119866        6.21971879       0.02559526
0.57119866        6.28318531       0.02854212
0.60293192        0.00000000       0.02854212
0.60293192        0.06346652       0.02560229
0.60293192        0.12693304       0.02301113
0.60293192        0.19039955       0.02084676
0.60293192        0.25386607       0.01919078
0.60293192        0.31733259       0.01811121
0.60293192        0.38079911       0.01763730
0.60293192        0.44426563       0.01773996
0.60293192        0.50773215       0.01833458
0.60293192        0.57119866       0.01930580
0.60293192        0.63466518       0.02053643
0.60293192        0.69813170       0.02192546
0.60293192        0.76159822       0.02339358
0.60293192        0.82506474       0.02488160
0.60293192        0.88853126       0.02634630
0.60293192        0.95199777       0.02775638
0.60293192        1.01546429       0.02908905
0.60293192        1.07893081       0.03032762
0.60293192        1.14239733       0.03145969
0.60293192        1.20586385       0.03247587
0.60293192        1.26933037       0.03336895
0.60293192        1.33279688       0.03413325
0.60293192        1.39626340       0.03476424
0.60293192        1.45972992       0.03525818
0.60293192        1.52319644       0.03561200
0.60293192        1.58666296       0.03582314
0.60293192        1.65012947       0.03588951
0.60293192        1.71359599       0.03580945
0.60293192        1.77706251       0.03558175
0.60293192        1.84052903       0.03520565
0.60293192        1.90399555       0.03468093
0.60293192        1.96746207       0.03400789
0.60293192        2.03092858       0.03318749
0.60293192        2.09439510       0.03222131
0.60293192        2.15786162       0.03111166
0.60293192        2.22132814       0.02986161
0.60293192        2.28479466       0.02847501
0.60293192        2.34826118       0.02695653
0.60293192        2.41172769       0.02531168
0.60293192        2.47519421       0.02354680
0.60293192        2.53866073       0.02166904
0.60293192        2.60212725       0.01968636
0.60293192        2.66559377       0.01760749
0.60293192        2.72906028       0.01544188
0.60293192        2.79252680       0.01319966
0.60293192        2.85599332       0.01089153
0.60293192        2.91945984       0.00852874
0.60293192        2.98292636       0.00612297
0.60293192        3.04639288       0.00368623
0.60293192        3.10985939       0.00123083
0.60293192        3.17332591       0.00123083
0.60293192        3.23679243       0.00368623
0.60293192        3.30025895       0.00612297
0.60293192        3.36372547       0.00852874
0.60293192        3.42719199       0.01089153
0.60293192        3.49065850       0.01319966
0.60293192        3.55412502       0.01544188
0.60293192        3.61759154       0.01760749
0.60293192        3.68105806       0.01968636
0.60293192        3.74452458       0.02166904
0.60293192        3.80799110       0.02354680
0.60293192        3.87145761       0.02531168
0.60293192        3.93492413       0.02695653
0.60293192        3.99839065       0.02847501
0.60293192        4.06185717       0.02986161
0.60293192        4.12532369       0.03111166
0.60293192        4.18879020       0.03222131
0.60293192        4.25225672       0.03318749
0.60293192        4.31572324       0.03400789
0.60293192        4.37918976       0.03468093
0.60293192        4.44265628       0.03520565
0.60293192        4.50612280       0.03558175
0.60293192        4.56958931       0.03580945
0.60293192        4.63305583       0.03588951
0.60293192        4.69652235       0.03582314
0.60293192        4.75998887       0.03561200
0.60293192        4.82345539       0.03525818
0.60293192        4.88692191       0.03476424
0.60293192        4.95038842       0.03413325
0.60293192        5.01385494       0.03336895
0.60293192        5.07732146       0.03247587
0.60293192        5.14078798       0.03145969
0.60293192        5.20425450       0.03032762
0.60293192        5.26772102       0.02908905
0.60293192        5.33118753       0.02775638
0.60293192        5.39465405       0.02634630
0.60293192        5.45812057       0.02488160
0.60293192        5.52158709       0.02339358
0.60293192        5.58505361       0.02192546
0.60293192        5.64852012       0.02053643
0.60293192        5.71198664       0.01930580
0.60293192        5.77545316       0.01833458
0.60293192        5.83891968       0.01773996
0.60293192        5.90238620       0.01763730
0.60293192        5.96585272       0.01811121
0.60293192        6.02931923       0.01919078
0.60293192        6.09278575       0.02084676
0.60293192        6.15625227       0.02301113
0.60293192        6.21971879       0.02560229
0.60293192        6.28318531       0.02854212
0.63466518        0.00000000       0.02854212
0.63466518        0.06346652       0.02562282
0.63466518        0.12693304       0.02299647
0.63466518        0.19039955       0.02073724
0.63466518        0.25386607       0.01892858
0.63466518        0.31733259       0.01765124
0.63466518        0.38079911       0.01696006
0.63466518        0.44426563       0.01685800
0.63466518        0.50773215       0.01728610
0.63466518        0.57119866       0.01814009
0.63466518        0.63466518       0.01930096
0.63466518        0.69813170       0.02065950
0.63466518        0.76159822       0.02212699
0.63466518        0.82506474       0.02363590
0.63466518        0.88853126       0.02513641
0.63466518        0.95199777       0.02659204
0.63466518        1.01546429       0.02797605
0.63466518        1.07893081       0.02926867
0.63466518        1.14239733       0.03045509
0.63466518        1.20586385       0.03152408
0.63466518        1.26933037       0.03246701
0.63466518        1.33279688       0.03327719
0.63466518        1.39626340       0.03394937
0.63466518        1.45972992       0.03447945
0.63466518        1.52319644       0.03486425
0.63466518        1.58666296       0.03510132
0.63466518        1.65012947       0.03518891
0.63466518        1.71359599       0.03512587
0.63466518        1.77706251       0.03491163
0.63466518        1.84052903       0.03454623
0.63466518        1.90399555       0.03403024
0.63466518        1.96746207       0.03336489
0.63466518        2.03092858       0.03255200
0.63466518        2.09439510       0.03159404
0.63466518        2.15786162       0.03049415
0.63466518        2.22132814       0.02925618
0.63466518        2.28479466       0.02788464
0.63466518        2.34826118       0.02638480
0.63466518        2.41172769       0.02476260
0.63466518        2.47519421       0.02302472
0.63466518        2.53866073       0.02117852
0.63466518        2.60212725       0.01923203
0.63466518        2.66559377       0.01719389
0.63466518        2.72906028       0.01507338
0.63466518        2.79252680       0.01288030
0.63466518        2.85599332       0.01062493
0.63466518        2.91945984       0.00831801
0.63466518        2.98292636       0.00596842
0.63466518        3.04639288       0.00357854
0.63466518        3.10985939       0.00119243
0.63466518        3.17332591       0.00119243
0.63466518        3.23679243       0.00357854
0.63466518        3.30025895       0.00596842
0.63466518        3.36372547       0.00831801
0.63466518        3.42719199       0.01062493
0.63466518        3.49065850       0.01288030
0.63466518        3.55412502       0.01507338
0.63466518        3.61759154       0.01719389
0.63466518        3.68105806       0.01923203
0.63466518        3.74452458       0.02117852
0.63466518        3.80799110       0.02302472
0.63466518        3.87145761       0.02476260
0.63466518        3.93492413       0.02638480
0.63466518        3.99839065       0.02788464
0.63466518        4.06185717       0.02925618
0.63466518        4.12532369       0.03049415
0.63466518        4.18879020       0.03159404
0.63466518        4.25225672       0.03255200
0.63466518        4.31572324       0.03336489
0.63466518        4.37918976       0.03403024
0.63466518        4.44265628       0.03454623
0.63466518        4.50612280       0.03491163
0.63466518        4.56958931       0.03512587
0.63466518        4.63305583       0.03518891
0.63466518        4.69652235       0.03510132
0.63466518        4.75998887       0.03486425
0.63466518        4.82345539       0.03447945
0.63466518        4.88692191       0.03394937
0.63466518        4.95038842       0.03327719
0.63466518        5.01385494       0.03246701
0.63466518        5.07732146       0.03152408
0.63466518        5.14078798       0.03045509
0.63466518        5.20425450       0.02926867
0.63466518        5.26772102       0.02797605
0.63466518        5.33118753       0.02659204
0.63466518        5.39465405       0.02513641
0.63466518        5.45812057       0.02363590
0.63466518        5.52158709       0.02212699
0.63466518        5.58505361       0.02065950
0.63466518        5.64852012       0.01930096
0.63466518        5.71198664       0.01814009
0.63466518        5.77545316       0.01728610
0.63466518        5.83891968       0.01685800
0.63466518        5.90238620       0.01696006
0.63466518        5.96585272       0.01765124
0.63466518        6.02931923       0.01892858
0.63466518        6.09278575       0.02073724
0.63466518        6.15625227       0.02299647
0.63466518        6.21971879       0.02562282
0.63466518        6.28318531       0.02854212
0.66639844        0.00000000       0.02854212
0.66639844        0.06346652       0.02565706
0.66639844        0.12693304       0.02301201
0.66639844        0.19039955       0.02067606
0.66639844        0.25386607       0.01873134
0.66639844        0.31733259       0.01726616
0.66639844        0.38079911       0.01635636
0.66639844        0.44426563       0.01603671
0.66639844        0.50773215       0.01627901
0.66639844        0.57119866       0.01699625
0.66639844        0.63466518       0.01807116
0.66639844        0.69813170       0.01938699
0.66639844        0.76159822       0.02084485
0.66639844        0.82506474       0.02236795
0.66639844        0.88853126       0.02389907
0.66639844        0.95199777       0.02539615
0.66639844        1.01546429       0.02682826
0.66639844        1.07893081       0.02817246
0.66639844        1.14239733       0.02941151
0.66639844        1.20586385       0.03053235
0.66639844        1.26933037       0.03152497
0.66639844        1.33279688       0.03238164
0.66639844        1.39626340       0.03309645
0.66639844        1.45972992       0.03366488
0.66639844        1.52319644       0.03408357
0.66639844        1.58666296       0.03435013
0.66639844        1.65012947       0.03446305
0.66639844        1.71359599       0.03442157
0.66639844        1.77706251       0.03422567
0.66639844        1.84052903       0.03387598
0.66639844        1.90399555       0.03337383
0.66639844        1.96746207       0.03272115
0.66639844        2.03092858       0.03192056
0.66639844        2.09439510       0.03097529
0.66639844        2.15786162       0.02988921
0.66639844        2.22132814       0.02866683
0.66639844        2.28479466       0.02731330
0.66639844        2.34826118       0.02583439
0.66639844        2.41172769       0.02423648
0.66639844        2.47519421       0.02252655
0.66639844        2.53866073       0.02071216
0.66639844        2.60212725       0.01880141
0.66639844        2.66559377       0.01680293
0.66639844        2.72906028       0.01472583
0.66639844        2.79252680       0.01241988
0.66639844        2.85599332       0.01012427
0.66639844        2.91945984       0.00785143
0.66639844        2.98292636       0.00559596
0.66639844        3.04639288       0.00335273
0.66639844        3.10985939       0.00111677
0.66639844        3.17332591       0.00111677
0.66639844        3.23679243       0.00335273
0.66639844        3.30025895       0.00559596
0.66639844        3.36372547       0.00785143
0.66639844        3.42719199       0.01012427
0.66639844        3.49065850       0.01241988
0.66639844        3.55412502       0.01472583
0.66639844        3.61759154       0.01680293
0.66639844        3.68105806       0.01880141
0.66639844        3.74452458       0.02071216
0.66639844        3.80799110       0.02252655
0.66639844        3.87145761       0.02423648
0.66639844        3.93492413       0.02583439
0.66639844        3.99839065       0.02731330
0.66639844        4.06185717       0.02866683
0.66639844        4.12532369       0.02988921
0.66639844        4.18879020       0.03097529
0.66639844        4.25225672       0.03192056
0.66639844        4.31572324       0.03272115
