% Model:              microstrip_patch_antenna.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 31 2023, 16:50
% Dimension:          3
% Nodes:              1000000
% Expressions:        1
% Description:        Electric field, y component
% Length unit:        mm
% Theta           Phi              r
0.03173326        4.50612280       0.06940468
0.03173326        4.56958931       0.07027083
0.03173326        4.63305583       0.07085867
0.03173326        4.69652235       0.07116546
0.03173326        4.75998887       0.07118967
0.03173326        4.82345539       0.07093108
0.03173326        4.88692191       0.07039084
0.03173326        4.95038842       0.06957152
0.03173326        5.01385494       0.06847726
0.03173326        5.07732146       0.06711383
0.03173326        5.14078798       0.06548879
0.03173326        5.20425450       0.06361169
0.03173326        5.26772102       0.06149430
0.03173326        5.33118753       0.05915095
0.03173326        5.39465405       0.05659900
0.03173326        5.45812057       0.05385946
0.03173326        5.52158709       0.05095792
0.03173326        5.58505361       0.04792587
0.03173326        5.64852012       0.04480255
0.03173326        5.71198664       0.04163763
0.03173326        5.77545316       0.03849503
0.03173326        5.83891968       0.03545788
0.03173326        5.90238620       0.03263448
0.03173326        5.96585272       0.03016328
0.03173326        6.02931923       0.02821173
0.03173326        6.09278575       0.02696020
0.03173326        6.15625227       0.02656343
0.03173326        6.21971879       0.02709991
0.03173326        6.28318531       0.02854212
0.06346652        0.00000000       0.02854212
0.06346652        0.06346652       0.02695144
0.06346652        0.12693304       0.02628589
0.06346652        0.19039955       0.02657171
0.06346652        0.25386607       0.02772470
0.06346652        0.31733259       0.02958117
0.06346652        0.38079911       0.03195188
0.06346652        0.44426563       0.03466276
0.06346652        0.50773215       0.03757157
0.06346652        0.57119866       0.04056846
0.06346652        0.63466518       0.04357033
0.06346652        0.69813170       0.04651435
0.06346652        0.76159822       0.04935257
0.06346652        0.82506474       0.05204792
0.06346652        0.88853126       0.05457137
0.06346652        0.95199777       0.05689996
0.06346652        1.01546429       0.05901543
0.06346652        1.07893081       0.06090326
0.06346652        1.14239733       0.06255196
0.06346652        1.20586385       0.06395260
0.06346652        1.26933037       0.06509846
0.06346652        1.33279688       0.06598471
0.06346652        1.39626340       0.06660821
0.06346652        1.45972992       0.06696737
0.06346652        1.52319644       0.06706199
0.06346652        1.58666296       0.06689315
0.06346652        1.65012947       0.06646310
0.06346652        1.71359599       0.06577520
0.06346652        1.77706251       0.06483381
0.06346652        1.84052903       0.06364427
0.06346652        1.90399555       0.06221279
0.06346652        1.96746207       0.06054639
0.06346652        2.03092858       0.05865289
0.06346652        2.09439510       0.05654080
0.06346652        2.15786162       0.05421931
0.06346652        2.22132814       0.05169821
0.06346652        2.28479466       0.04898788
0.06346652        2.34826118       0.04609921
0.06346652        2.41172769       0.04304358
0.06346652        2.47519421       0.03983279
0.06346652        2.53866073       0.03647905
0.06346652        2.60212725       0.03255131
0.06346652        2.66559377       0.02829249
0.06346652        2.72906028       0.02419349
0.06346652        2.79252680       0.02023379
0.06346652        2.85599332       0.01639251
0.06346652        2.91945984       0.01264848
0.06346652        2.98292636       0.00898030
0.06346652        3.04639288       0.00536643
0.06346652        3.10985939       0.00178518
0.06346652        3.17332591       0.00178518
0.06346652        3.23679243       0.00536643
0.06346652        3.30025895       0.00898030
0.06346652        3.36372547       0.01264848
0.06346652        3.42719199       0.01639251
0.06346652        3.49065850       0.02023379
0.06346652        3.55412502       0.02419349
0.06346652        3.61759154       0.02829249
0.06346652        3.68105806       0.03255131
0.06346652        3.74452458       0.03647905
0.06346652        3.80799110       0.03983279
0.06346652        3.87145761       0.04304358
0.06346652        3.93492413       0.04609921
0.06346652        3.99839065       0.04898788
0.06346652        4.06185717       0.05169821
0.06346652        4.12532369       0.05421931
0.06346652        4.18879020       0.05654080
0.06346652        4.25225672       0.05865289
0.06346652        4.31572324       0.06054639
0.06346652        4.37918976       0.06221279
0.06346652        4.44265628       0.06364427
0.06346652        4.50612280       0.06483381
0.06346652        4.56958931       0.06577520
0.06346652        4.63305583       0.06646310
0.06346652        4.69652235       0.06689315
0.06346652        4.75998887       0.06706199
0.06346652        4.82345539       0.06696737
0.06346652        4.88692191       0.06660821
0.06346652        4.95038842       0.06598471
0.06346652        5.01385494       0.06509846
0.06346652        5.07732146       0.06395260
0.06346652        5.14078798       0.06255196
0.06346652        5.20425450       0.06090326
0.06346652        5.26772102       0.05901543
0.06346652        5.33118753       0.05689996
0.06346652        5.39465405       0.05457137
0.06346652        5.45812057       0.05204792
0.06346652        5.52158709       0.04935257
0.06346652        5.58505361       0.04651435
0.06346652        5.64852012       0.04357033
0.06346652        5.71198664       0.04056846
0.06346652        5.77545316       0.03757157
0.06346652        5.83891968       0.03466276
0.06346652        5.90238620       0.03195188
0.06346652        5.96585272       0.02958117
0.06346652        6.02931923       0.02772470
0.06346652        6.09278575       0.02657171
0.06346652        6.15625227       0.02628589
0.06346652        6.21971879       0.02695144
0.06346652        6.28318531       0.02854212
0.09519978        0.00000000       0.02854212
0.09519978        0.06346652       0.02680769
0.09519978        0.12693304       0.02601080
0.09519978        0.19039955       0.02617740
0.09519978        0.25386607       0.02721984
0.09519978        0.31733259       0.02896792
0.09519978        0.38079911       0.03122531
0.09519978        0.44426563       0.03381242
0.09519978        0.50773215       0.03658372
0.09519978        0.57119866       0.03942805
0.09519978        0.63466518       0.04226242
0.09519978        0.69813170       0.04502506
0.09519978        0.76159822       0.04766970
0.09519978        0.82506474       0.05016135
0.09519978        0.88853126       0.05247331
0.09519978        0.95199777       0.05458516
0.09519978        1.01546429       0.05648124
0.09519978        1.07893081       0.05814969
0.09519978        1.14239733       0.05958172
0.09519978        1.20586385       0.06077106
0.09519978        1.26933037       0.06171356
0.09519978        1.33279688       0.06240693
0.09519978        1.39626340       0.06285045
0.09519978        1.45972992       0.06304480
0.09519978        1.52319644       0.06299192
0.09519978        1.58666296       0.06269485
0.09519978        1.65012947       0.06215762
0.09519978        1.71359599       0.06138518
0.09519978        1.77706251       0.06038325
0.09519978        1.84052903       0.05915830
0.09519978        1.90399555       0.05771746
0.09519978        1.96746207       0.05606843
0.09519978        2.03092858       0.05421946
0.09519978        2.09439510       0.05217926
0.09519978        2.15786162       0.04995696
0.09519978        2.22132814       0.04756209
0.09519978        2.28479466       0.04500449
0.09519978        2.34826118       0.04229432
0.09519978        2.41172769       0.03944200
0.09519978        2.47519421       0.03645817
0.09519978        2.53866073       0.03335368
0.09519978        2.60212725       0.03013955
0.09519978        2.66559377       0.02662491
0.09519978        2.72906028       0.02277700
0.09519978        2.79252680       0.01905670
0.09519978        2.85599332       0.01544444
0.09519978        2.91945984       0.01192062
0.09519978        2.98292636       0.00846559
0.09519978        3.04639288       0.00505970
0.09519978        3.10985939       0.00168329
0.09519978        3.17332591       0.00168329
0.09519978        3.23679243       0.00505970
0.09519978        3.30025895       0.00846559
0.09519978        3.36372547       0.01192062
0.09519978        3.42719199       0.01544444
0.09519978        3.49065850       0.01905670
0.09519978        3.55412502       0.02277700
0.09519978        3.61759154       0.02662491
0.09519978        3.68105806       0.03013955
0.09519978        3.74452458       0.03335368
0.09519978        3.80799110       0.03645817
0.09519978        3.87145761       0.03944200
0.09519978        3.93492413       0.04229432
0.09519978        3.99839065       0.04500449
0.09519978        4.06185717       0.04756209
0.09519978        4.12532369       0.04995696
0.09519978        4.18879020       0.05217926
0.09519978        4.25225672       0.05421946
0.09519978        4.31572324       0.05606843
0.09519978        4.37918976       0.05771746
0.09519978        4.44265628       0.05915830
0.09519978        4.50612280       0.06038325
0.09519978        4.56958931       0.06138518
0.09519978        4.63305583       0.06215762
0.09519978        4.69652235       0.06269485
0.09519978        4.75998887       0.06299192
0.09519978        4.82345539       0.06304480
0.09519978        4.88692191       0.06285045
0.09519978        4.95038842       0.06240693
0.09519978        5.01385494       0.06171356
0.09519978        5.07732146       0.06077106
0.09519978        5.14078798       0.05958172
0.09519978        5.20425450       0.05814969
0.09519978        5.26772102       0.05648124
0.09519978        5.33118753       0.05458516
0.09519978        5.39465405       0.05247331
0.09519978        5.45812057       0.05016135
0.09519978        5.52158709       0.04766970
0.09519978        5.58505361       0.04502506
0.09519978        5.64852012       0.04226242
0.09519978        5.71198664       0.03942805
0.09519978        5.77545316       0.03658372
0.09519978        5.83891968       0.03381242
0.09519978        5.90238620       0.03122531
0.09519978        5.96585272       0.02896792
0.09519978        6.02931923       0.02721984
0.09519978        6.09278575       0.02617740
0.09519978        6.15625227       0.02601080
0.09519978        6.21971879       0.02680769
0.09519978        6.28318531       0.02854212
0.12693304        0.00000000       0.02854212
0.12693304        0.06346652       0.02666916
0.12693304        0.12693304       0.02573901
0.12693304        0.19039955       0.02577844
0.12693304        0.25386607       0.02669884
0.12693304        0.31733259       0.02832622
0.12693304        0.38079911       0.03045912
0.12693304        0.44426563       0.03291350
0.12693304        0.50773215       0.03554104
0.12693304        0.57119866       0.03822944
0.12693304        0.63466518       0.04089581
0.12693304        0.69813170       0.04347937
0.12693304        0.76159822       0.04593544
0.12693304        0.82506474       0.04823097
0.12693304        0.88853126       0.05034147
0.12693304        0.95199777       0.05224886
0.12693304        1.01546429       0.05393993
0.12693304        1.07893081       0.05540529
0.12693304        1.14239733       0.05663860
0.12693304        1.20586385       0.05763601
0.12693304        1.26933037       0.05839571
0.12693304        1.33279688       0.05891766
0.12693304        1.39626340       0.05920325
0.12693304        1.45972992       0.05925515
0.12693304        1.52319644       0.05907710
0.12693304        1.58666296       0.05867378
