,0,1,2,3,4
0,(1.3374534211681247e-05+6.301388338189275e-06j),(1.3221953201852562e-05+6.598474159502658e-06j),(1.3398664685686617e-05+6.249013677652448e-06j),(1.3744216489300093e-05+5.430871844434125e-06j),(1.4002145273844177e-05+4.605893841408301e-06j)
1,(0.0002292332306916935-0.00015606655674559232j),(0.00014776415393016144-0.00013266645836703027j),(-2.4162205190471632e-05-2.868824148929747e-05j),(-0.000147208686522608+0.0001317043042272472j),(-0.00018059981896873843+0.00021153138180884725j)
2,(-1.3374534211681187e-05-6.301388338189297e-06j),(-1.3715927835042004e-05-5.5072937973264135e-06j),(-1.398635847688293e-05-4.661355809585404e-06j),(-1.4079772082970542e-05-4.281073644044585e-06j),(-1.4002145273844225e-05-4.60589384140827e-06j)
3,(-0.00022923323069169347+0.00015606655674559232j),(-0.0001472694804197053+0.00013157381071803565j),(2.4751487715947595e-05+2.7096289944728088e-05j),(0.0001475446666437944-0.0001328556712285893j),(0.0001805998189687384-0.00021153138180884725j)
4,(1.3374534211681187e-05+6.301388338189305e-06j),(1.322195320185251e-05+6.598474159502692e-06j),(1.339866468568663e-05+6.2490136776524536e-06j),(1.3744216489300154e-05+5.430871844434117e-06j),(1.4002145273844225e-05+4.6058938414082566e-06j)
