% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 19 2023, 10:17
% Dimension:          3
% Nodes:              1000
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.575
-10                       49.99999999999998        30                       1.0090213249341573-1.2090369872479423i
10                        49.99999999999998        30                       -1.324336868126533+1.4917883537163155i
30                        49.99999999999998        30                       -3.3127065337814745+2.8411250843438296i
49.99999999999998         49.99999999999998        30                       -4.387758375873127+2.6255118450056973i
69.99999999999999         49.99999999999998        30                       -0.009991860431780485+0.06724128198908823i
89.99999999999997         49.99999999999998        30                       NaN
-89.99999999999997        69.99999999999999        30                       NaN
-69.99999999999999        69.99999999999999        30                       NaN
-49.99999999999998        69.99999999999999        30                       0.005209834388821721-0.21696100139484847i
-30                       69.99999999999999        30                       0.7245856914767321-0.630185435700308i
-10                       69.99999999999999        30                       1.2154088952121052-0.6393384393565827i
10                        69.99999999999999        30                       -0.7920694860968203+1.0014175558064027i
30                        69.99999999999999        30                       -0.8576854447670426+0.6318596036236968i
49.99999999999998         69.99999999999999        30                       -0.007986186625317852+0.20355221221129255i
69.99999999999999         69.99999999999999        30                       NaN
89.99999999999997         69.99999999999999        30                       NaN
-89.99999999999997        89.99999999999997        30                       NaN
-69.99999999999999        89.99999999999997        30                       NaN
-49.99999999999998        89.99999999999997        30                       NaN
-30                       89.99999999999997        30                       -0.026241121929288996+0.11437604988287797i
-10                       89.99999999999997        30                       -0.014217850654499951-0.07550710557603729i
10                        89.99999999999997        30                       0.03792784302017541+0.10489959576910174i
30                        89.99999999999997        30                       -5.392491744000624E-5-0.08266780529619724i
49.99999999999998         89.99999999999997        30                       NaN
69.99999999999999         89.99999999999997        30                       NaN
89.99999999999997         89.99999999999997        30                       NaN
-89.99999999999997        -89.99999999999997       49.99999999999998        NaN
-69.99999999999999        -89.99999999999997       49.99999999999998        NaN
-49.99999999999998        -89.99999999999997       49.99999999999998        NaN
-30                       -89.99999999999997       49.99999999999998        NaN
-10                       -89.99999999999997       49.99999999999998        NaN
10                        -89.99999999999997       49.99999999999998        NaN
30                        -89.99999999999997       49.99999999999998        NaN
49.99999999999998         -89.99999999999997       49.99999999999998        NaN
69.99999999999999         -89.99999999999997       49.99999999999998        NaN
89.99999999999997         -89.99999999999997       49.99999999999998        NaN
-89.99999999999997        -69.99999999999999       49.99999999999998        NaN
-69.99999999999999        -69.99999999999999       49.99999999999998        NaN
-49.99999999999998        -69.99999999999999       49.99999999999998        0.021924740668091365-0.14584236259649397i
-30                       -69.99999999999999       49.99999999999998        0.06609591447209674+0.20546035277595667i
-10                       -69.99999999999999       49.99999999999998        -0.13426333861539277-0.15387830228566535i
10                        -69.99999999999999       49.99999999999998        -0.0723310017134107-0.031131066357577536i
30                        -69.99999999999999       49.99999999999998        -0.08109802237905131-0.34277723668091514i
49.99999999999998         -69.99999999999999       49.99999999999998        0.021976869010298227+0.11230001654360121i
69.99999999999999         -69.99999999999999       49.99999999999998        NaN
89.99999999999997         -69.99999999999999       49.99999999999998        NaN
-89.99999999999997        -49.99999999999998       49.99999999999998        NaN
-69.99999999999999        -49.99999999999998       49.99999999999998        -0.0066408536187444675-0.11138391300548776i
-49.99999999999998        -49.99999999999998       49.99999999999998        0.024832478868726582+0.41483486795463054i
-30                       -49.99999999999998       49.99999999999998        -1.3308004421218147+2.8625147236876867i
-10                       -49.99999999999998       49.99999999999998        -0.6085241208285787+0.85792630993792i
10                        -49.99999999999998       49.99999999999998        0.020718879724235972-1.757948481343295i
30                        -49.99999999999998       49.99999999999998        1.7283705762576391-1.7366296999854283i
49.99999999999998         -49.99999999999998       49.99999999999998        0.2164764542265883-0.6629016543036326i
69.99999999999999         -49.99999999999998       49.99999999999998        0.0036005297535610867+0.15415424933255514i
89.99999999999997         -49.99999999999998       49.99999999999998        NaN
-89.99999999999997        -30                      49.99999999999998        NaN
-69.99999999999999        -30                      49.99999999999998        0.08872929477121123+0.33361374586432363i
-49.99999999999998        -30                      49.99999999999998        -2.2809784799924975+2.692568756796111i
-30                       -30                      49.99999999999998        -1.6008103400333533+2.692591156492478i
-10                       -30                      49.99999999999998        -0.6253022086552789+0.9066418346958436i
10                        -30                      49.99999999999998        0.570329206022228-1.0196641936682045i
30                        -30                      49.99999999999998        1.7729556210662687-2.296133960919213i
49.99999999999998         -30                      49.99999999999998        2.04678848624517-2.8143650838675276i
69.99999999999999         -30                      49.99999999999998        -0.06022897728970953-0.20447134338789497i
89.99999999999997         -30                      49.99999999999998        NaN
-89.99999999999997        -10                      49.99999999999998        NaN
-69.99999999999999        -10                      49.99999999999998        -0.13011876176431592-0.18681324737892413i
-49.99999999999998        -10                      49.99999999999998        -0.8399202183503442+1.7116456549202332i
-30                       -10                      49.99999999999998        -0.8416012458788587+1.5758875651039883i
-10                       -10                      49.99999999999998        -0.3351363651469293+0.59983686829611i
10                        -10                      49.99999999999998        0.2605970789399593-0.5356295298168323i
