% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 21 2023, 09:02
% Dimension:          3
% Nodes:              1000
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.575
-89.99999999999997        -89.99999999999997       -89.99999999999997       NaN
-69.99999999999999        -89.99999999999997       -89.99999999999997       NaN
-49.99999999999998        -89.99999999999997       -89.99999999999997       NaN
-30                       -89.99999999999997       -89.99999999999997       NaN
-10                       -89.99999999999997       -89.99999999999997       NaN
10                        -89.99999999999997       -89.99999999999997       NaN
30                        -89.99999999999997       -89.99999999999997       NaN
49.99999999999998         -89.99999999999997       -89.99999999999997       NaN
69.99999999999999         -89.99999999999997       -89.99999999999997       NaN
89.99999999999997         -89.99999999999997       -89.99999999999997       NaN
-89.99999999999997        -69.99999999999999       -89.99999999999997       NaN
-69.99999999999999        -69.99999999999999       -89.99999999999997       NaN
-49.99999999999998        -69.99999999999999       -89.99999999999997       NaN
-30                       -69.99999999999999       -89.99999999999997       NaN
-10                       -69.99999999999999       -89.99999999999997       NaN
10                        -69.99999999999999       -89.99999999999997       NaN
30                        -69.99999999999999       -89.99999999999997       NaN
49.99999999999998         -69.99999999999999       -89.99999999999997       NaN
69.99999999999999         -69.99999999999999       -89.99999999999997       NaN
89.99999999999997         -69.99999999999999       -89.99999999999997       NaN
-89.99999999999997        -49.99999999999998       -89.99999999999997       NaN
-69.99999999999999        -49.99999999999998       -89.99999999999997       NaN
-49.99999999999998        -49.99999999999998       -89.99999999999997       NaN
-30                       -49.99999999999998       -89.99999999999997       NaN
-10                       -49.99999999999998       -89.99999999999997       NaN
10                        -49.99999999999998       -89.99999999999997       NaN
30                        -49.99999999999998       -89.99999999999997       NaN
49.99999999999998         -49.99999999999998       -89.99999999999997       NaN
69.99999999999999         -49.99999999999998       -89.99999999999997       NaN
89.99999999999997         -49.99999999999998       -89.99999999999997       NaN
-89.99999999999997        -30                      -89.99999999999997       NaN
-69.99999999999999        -30                      -89.99999999999997       NaN
-49.99999999999998        -30                      -89.99999999999997       NaN
-30                       -30                      -89.99999999999997       0.0027355497747724757-0.008232360121169596i
-10                       -30                      -89.99999999999997       -0.013169431796595486+0.039967389659895734i
10                        -30                      -89.99999999999997       0.016260541694085272-0.03763834642569724i
30                        -30                      -89.99999999999997       -0.002421779220063849+0.009064290987488639i
49.99999999999998         -30                      -89.99999999999997       NaN
69.99999999999999         -30                      -89.99999999999997       NaN
89.99999999999997         -30                      -89.99999999999997       NaN
-89.99999999999997        -10                      -89.99999999999997       NaN
-69.99999999999999        -10                      -89.99999999999997       NaN
-49.99999999999998        -10                      -89.99999999999997       NaN
-30                       -10                      -89.99999999999997       0.004453874715381879-0.006765558835832106i
-10                       -10                      -89.99999999999997       0.004064591607532302+0.009377621942148733i
10                        -10                      -89.99999999999997       0.013140308540122967-0.024518442813791223i
30                        -10                      -89.99999999999997       -0.01300966744440401+0.009847591067933748i
49.99999999999998         -10                      -89.99999999999997       NaN
69.99999999999999         -10                      -89.99999999999997       NaN
89.99999999999997         -10                      -89.99999999999997       NaN
-89.99999999999997        10                       -89.99999999999997       NaN
-69.99999999999999        10                       -89.99999999999997       NaN
-49.99999999999998        10                       -89.99999999999997       NaN
-30                       10                       -89.99999999999997       -0.0035606073329594885-0.04331201102991323i
-10                       10                       -89.99999999999997       0.02371574380594184-0.04823792383066134i
