% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 18 2023, 18:08
% Dimension:          3
% Nodes:              100
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.575
49.99999999999998         10                       0                        -17.873983685875718-6.9497531436271585i
69.99999999999999         10                       0                        -2.522314696437567+0.3106954986308963i
89.99999999999997         10                       0                        -0.07762905853898225+0.02295233453428234i
-89.99999999999997        30                       0                        -0.004427107827799204+0.005490863340628338i
-69.99999999999999        30                       0                        6.7622421646780495-0.33345908805440694i
-49.99999999999998        30                       0                        42.3968556554253+16.09695934730062i
-30                       30                       0                        2.981900459752599-5.044571186658118i
-10                       30                       0                        2.6054180553821764-4.490724316565631i
10                        30                       0                        -4.480760333622943+7.794737821646798i
30                        30                       0                        -1.2627296646167858+2.0511823558476188i
49.99999999999998         30                       0                        -44.22753919215273-16.19363417580602i
69.99999999999999         30                       0                        -6.776586353517358+0.4639811507608858i
89.99999999999997         30                       0                        0.001490280802684183-0.014134979165764044i
-89.99999999999997        49.99999999999998        0                        NaN
-69.99999999999999        49.99999999999998        0                        0.3197793035436649-0.48369320088489326i
-49.99999999999998        49.99999999999998        0                        19.78672231813961+2.4439428449491696i
-30                       49.99999999999998        0                        0.7524099878422627+0.12301380205308547i
-10                       49.99999999999998        0                        -0.6847022350130442-0.3060467375428803i
10                        49.99999999999998        0                        0.2584658551188585+0.1818122433297602i
30                        49.99999999999998        0                        -0.820345772663879-0.22724928514203524i
49.99999999999998         49.99999999999998        0                        -49.74417254653861-5.200122953815719i
69.99999999999999         49.99999999999998        0                        -0.2859688645814142+0.50985396971624i
89.99999999999997         49.99999999999998        0                        NaN
-89.99999999999997        69.99999999999999        0                        NaN
-69.99999999999999        69.99999999999999        0                        0.04632259322550197+0.08215088076607546i
-49.99999999999998        69.99999999999999        0                        0.20879427256110478-0.3528621204012101i
-30                       69.99999999999999        0                        2.748207800491244-1.3679805721207439i
-10                       69.99999999999999        0                        0.9987503007858445-0.45209086226551864i
10                        69.99999999999999        0                        -0.6845569872738866+0.6441352272276828i
30                        69.99999999999999        0                        -2.6280325565715166+1.2269115978652252i
49.99999999999998         69.99999999999999        0                        -0.13371179897680396+0.21256336359464056i
69.99999999999999         69.99999999999999        0                        -0.28720786449694846+1.1741931085031826E-4i
89.99999999999997         69.99999999999999        0                        NaN
-89.99999999999997        89.99999999999997        0                        NaN
-69.99999999999999        89.99999999999997        0                        NaN
-49.99999999999998        89.99999999999997        0                        NaN
-30                       89.99999999999997        0                        5.851451520058754E-4+8.263741834823313E-4i
-10                       89.99999999999997        0                        -0.07890843486618623-0.06071098565858801i
10                        89.99999999999997        0                        0.15129270613126608+0.0438697364426871i
30                        89.99999999999997        0                        -0.012933883685008887-0.020609857263860165i
49.99999999999998         89.99999999999997        0                        NaN
69.99999999999999         89.99999999999997        0                        NaN
89.99999999999997         89.99999999999997        0                        NaN
