% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Jan 11 2023, 12:08
% Dimension:          3
% Nodes:              11643
% Expressions:        1
% Description:        Multislice
% x                       y                        z                        Color
5.267356722608669E-15     73.23887728995597        40                       0.07741048932143019
6.187517592957486E-15     72.10034515722643        40                       0.17597022546692698
-0.2282592993431799       73.40716771138436        40                       0.07339669642354496
6.873598544764118E-15     71.24101432224083        40                       0.260625343278672
-1.54985386912744         72.21297219239413        40.00000000000001        -0.17716515771427266
-1.5693008292401391       72.31464088692397        40.00000000000001        -0.0509548054253683
7.082680928608246E-15     70.99274293839548        39.99999999999999        0.2418338908110369
-1.1638925860887066       70.05315484451876        40                       -0.03235845916996123
-1.6246728991697736       72.26953007538283        40                       -0.05822770730624753
-1.6246728991697719       70.34253198367813        40                       -0.08852826171538428
-1.3074953541885663       72.5279299595647         40                       -0.029668874492428852
8.482058850583968E-15     69.26126664838795        40                       0.07835413940914027
4.995695667866495E-15     73.59312720772012        40                       -0.17326848397359626
-2.9103423591371085       71.22211406246356        40                       -0.09358497398708338
9.05829792929977E-15      89.03027655623697        40                       -0.007907783273274762
9.051076603483204E-15     89.02147200387716        40                       -0.007922992647267674
-0.012470262775277682     89.02112921409409        40                       0.03138472228626546
-0.2373471254295205       89.19138701935377        40.00000000000001        0.032060175816734406
1.1221476413582557E-14    91.63030860322654        40                       6.586474486885777E-5
-3.406128186114633        91.58365579534299        40                       0.1246216500625637
9.04326022777581E-15      89.01220199319954        40.00000000000001        0.03133351832092277
-3.577709270841927        91.05735056125677        40                       0.2310913549465424
-2.0671778804793          88.19733653037243        40                       0.051051533015455584
-3.571111143733618        87.59436547580509        40                       0.03873495909468948
-3.4546030622743604       91.43147160280847        40                       0.24617830614460823
-4.514972988196472        88.23569765387552        40.00000000000001        0.11741130157068357
-4.136330102927349        87.34607971614781        40                       0.03387972620718007
-4.940810768172755        86.99269260863647        40                       0.0703556695676788
