% Model:              microstrip_patch_antenna.mph
% Version:            COMSOL 5.0.0.243
% Date:               May 6 2024, 16:51
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        Far field
% theta                   r
0                         0.48347745520939434
0.06283185307179587       0.5290725666018784
0.12566370614359174       0.5767950446045003
0.18849555921538758       0.6267883518799543
0.25132741228718347       0.6791510052462494
0.3141592653589793        0.7339264159335576
0.37699111843077515       0.7910933181225456
0.43982297150257105       0.8505569886405167
0.5026548245743669        0.9121415515350265
0.5654866776461628        0.9755837441057083
0.6283185307179586        1.0405285872621555
0.6911503837897545        1.106527442882267
0.7539822368615503        1.1730389443477012
0.8168140899333463        1.2394332452070291
0.8796459430051421        1.3049999392705527
0.9424777960769378        1.368959861707446
1.0053096491487339        1.4304807883476585
1.0681415022205298        1.4886968186323737
1.1309733552923256        1.5427309715777513
1.1938052083641213        1.5917202638531929
1.2566370614359172        1.6348422982339497
1.3194689145077132        1.6713421940128215
1.382300767579509         1.700558561516433
1.4451326206513047        1.7219471791238354
1.5079644737231006        1.7351010843443186
1.5707963267948966        1.739765942647359
1.6336281798666925        1.7358498009344265
1.6964600329384882        1.7234266492970782
1.7592918860102842        1.7027335795824552
1.8221237390820801        1.6741617116162157
1.8849555921538756        1.6382414252138886
1.9477874452256716        1.5956227576342679
2.0106192982974678        1.547052076335332
2.0734511513692637        1.493346298011385
2.1362830044410597        1.4353659885202266
2.199114857512855         1.3739886458047301
2.261946710584651         1.3100833495662612
2.324778563656447         1.244487774685614
2.3876104167282426        1.177988332290599
2.4504422698000385        1.1113039468999089
2.5132741228718345        1.0450737233997363
2.57610597594363          0.9798485238657615
2.6389378290154264        0.9160862769252359
2.701769682087222         0.8541506914847976
2.764601535159018         0.794312946662166
2.827433388230814         0.7367558800044218
2.8902652413026093        0.6815801917621563
2.9530970943744057        0.6288122164001378
3.015928947446201         0.5784128743553015
3.078760800517997         0.5302874978441423
3.141592653589793         0.4842963163016594
3.204424506661589         0.44026548552860817
3.267256359733385         0.3979986529312376
3.330088212805181         0.35728918714787616
3.3929200658769765        0.3179334130092654
3.4557519189487724        0.2797456046344217
3.5185837720205684        0.24257641196319646
3.581415625092364         0.2063386783262766
3.6442474781641603        0.17105079526586212
3.707079331235956         0.13692636645885822
3.7699111843077513        0.10460193490954682
3.8327430373795477        0.07582491054177333
3.895574890451343         0.05552337201446073
3.9584067435231396        0.053185702317626364
4.0212385965949355        0.06949964663419363
4.084070449666731         0.09417892871363141
4.1469023027385274        0.12106538255772509
4.209734155810323         0.147729397830306
4.272566008882119         0.1730031169947567
4.335397861953915         0.1961488539776937
4.39822971502571          0.21660859188878406
4.461061568097507         0.2339255475300457
4.523893421169302         0.24772203850723715
4.586725274241098         0.25769733474836626
4.649557127312894         0.26363221621082367
4.71238898038469          0.2653946058809466
4.775220833456485         0.2629436152765154
4.838052686528282         0.25633074749006335
4.900884539600077         0.24569787206216945
4.9637163926718735        0.23127231444021162
5.026548245743669         0.21336024411721746
5.0893800988154645        0.1923408912177321
5.15221195188726          0.16866699366775356
5.215043804959057         0.14288450990867982
5.277875658030853         0.11570874954816383
5.340707511102648         0.0882835493720406
5.403539364174444         0.06312301394894838
5.466371217246239         0.04726250106098975
5.529203070318036         0.05237089314793171
5.592034923389832         0.07518444596342176
5.654866776461628         0.10518080310973511
5.717698629533423         0.13802682975882155
5.780530482605219         0.17232392426085708
5.843362335677015         0.20758944964066964
5.906194188748811         0.2436840491957452
5.969026041820607         0.28062974205719293
6.031857894892402         0.31853806631549586
6.094689747964199         0.35757427311670903
6.157521601035994         0.3979350490118136
6.220353454107791         0.43983194041707774
6.283185307179586         0.4834774552093943
