% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 19 2023, 10:17
% Dimension:          3
% Nodes:              1000
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.575
-89.99999999999997        -89.99999999999997       30                       0
-69.99999999999999        -89.99999999999997       30                       0
-49.99999999999998        -89.99999999999997       30                       0
-30                       -89.99999999999997       30                       0.015260486083251309-0.06762191247237376j
-10                       -89.99999999999997       30                       0.16791402355626642+0.04061345983779819j
10                        -89.99999999999997       30                       0.031009148638167488+0.024849561497364715j
30                        -89.99999999999997       30                       -0.0256056846360701+0.08040938510504511j
49.99999999999998         -89.99999999999997       30                       0
69.99999999999999         -89.99999999999997       30                       0
89.99999999999997         -89.99999999999997       30                       0
-89.99999999999997        -69.99999999999999       30                       0
-69.99999999999999        -69.99999999999999       30                       0
-49.99999999999998        -69.99999999999999       30                       -0.010893836249955057-0.004498504298779599j
-30                       -69.99999999999999       30                       -0.8391525760782494-0.8566771435595657j
-10                       -69.99999999999999       30                       -0.34730496955058054+1.353916669332751j
10                        -69.99999999999999       30                       1.5606715918815488-0.6307475157867048j
30                        -69.99999999999999       30                       1.1941095162430226-0.3479717533048895j
49.99999999999998         -69.99999999999999       30                       -0.11771329886997578-0.06256343115767678j
69.99999999999999         -69.99999999999999       30                       0
89.99999999999997         -69.99999999999999       30                       0
-89.99999999999997        -49.99999999999998       30                       0
-69.99999999999999        -49.99999999999998       30                       0.012787704563918756+0.08307374196932335j
-49.99999999999998        -49.99999999999998       30                       -4.366248514431137+2.854143763152654j
-30                       -49.99999999999998       30                       -2.9873398330341225+3.2951859083354083j
-10                       -49.99999999999998       30                       -0.9409822374888636+1.0738830125855694j
10                        -49.99999999999998       30                       0.9764061711640108-1.1680824583953031j
30                        -49.99999999999998       30                       3.03387880248056-2.869226045364828j
49.99999999999998         -49.99999999999998       30                       4.3537730867009286-2.9423426219957785j
69.99999999999999         -49.99999999999998       30                       0.043960585608728-0.19280349900677948j
89.99999999999997         -49.99999999999998       30                       0
-89.99999999999997        -30                      30                       0.10319639118997682-0.17511778092009012j
-69.99999999999999        -30                      30                       -0.9468087713309279+0.8090861211088178j
-49.99999999999998        -30                      30                       -4.601896665224137+3.6425356800386703j
-30                       -30                      30                       -4.231796756834781+5.580385870366711j
-10                       -30                      30                       -1.0633720518784733+1.0526463751290214j
10                        -30                      30                       1.0718464696124774-1.2221375028845063j
30                        -30                      30                       4.107477654557558-5.229459297184481j
49.99999999999998         -30                      30                       4.7786040551461415-3.9517908009440186j
69.99999999999999         -30                      30                       1.0024996039673533-0.09848443441141291j
89.99999999999997         -30                      30                       -0.06460249753808621+0.04914783284878872j
-89.99999999999997        -10                      30                       0.03718902791969178-0.02185576429075986j
-69.99999999999999        -10                      30                       -1.50035736515856+1.3965098050809261j
-49.99999999999998        -10                      30                       -2.3353303695694096+2.812534690082507j
